time,open,high,low,close,volume
1748624760000,2553.3,2555.94,2552.94,2555.66,536.2962
1748624820000,2555.66,2557.5,2554.87,2555.01,877.1111
1748624880000,2555.01,2557.9,2554.61,2557.89,224.0847
1748624940000,2557.9,2560.0,2555.6,2556.45,1166.4804
1748625000000,2556.48,2556.95,2554.02,2556.72,953.6241
1748625060000,2556.71,2557.0,2554.2,2554.99,335.5022
1748625120000,2555.0,2556.0,2554.3,2555.81,226.5545
1748625180000,2555.81,2555.81,2552.07,2552.91,452.6621
1748625240000,2552.91,2553.7,2552.01,2552.02,130.4496
1748625300000,2552.01,2555.5,2551.44,2555.09,287.1952
1748625360000,2555.1,2555.5,2551.79,2551.8,179.7016
1748625420000,2551.8,2554.5,2548.02,2554.5,610.4261
1748625480000,2554.49,2557.74,2554.49,2557.04,989.1978
1748625540000,2557.05,2558.0,2557.0,2557.15,209.163
1748625600000,2557.14,2557.14,2550.23,2550.89,389.4604
1748625660000,2550.89,2551.19,2549.12,2551.18,666.0436
1748625720000,2551.18,2551.6,2549.6,2551.59,779.9105
1748625780000,2551.59,2554.03,2550.99,2552.51,394.8323
1748625840000,2552.51,2552.51,2550.3,2550.3,229.1248
1748625900000,2550.31,2550.69,2548.48,2550.48,322.6928
1748625960000,2550.47,2551.19,2545.17,2546.43,603.7521
1748626020000,2546.43,2548.2,2546.02,2546.87,211.2408
1748626080000,2546.86,2548.8,2545.56,2548.8,281.6171
1748626140000,2548.8,2549.4,2547.08,2547.49,139.407
1748626200000,2547.49,2549.52,2547.1,2548.55,349.61
1748626260000,2548.56,2548.56,2542.85,2545.4,724.5552
1748626320000,2545.4,2548.39,2544.23,2547.24,430.2625
1748626380000,2547.24,2550.0,2544.99,2550.0,560.9065
1748626440000,2550.0,2552.1,2547.6,2547.61,306.3335
1748626500000,2547.61,2552.01,2547.61,2550.78,262.2466
1748626560000,2550.79,2553.4,2550.11,2553.01,609.3922
1748626620000,2553.01,2553.2,2551.45,2553.2,122.6485
1748626680000,2553.2,2554.25,2551.0,2551.01,172.6054
1748626740000,2551.0,2551.0,2547.8,2550.79,225.5769
1748626800000,2550.79,2552.3,2550.32,2551.79,513.3489
1748626860000,2551.79,2552.1,2550.14,2551.49,138.9783
1748626920000,2551.5,2552.23,2550.29,2551.7,219.7633
1748626980000,2551.7,2552.53,2551.31,2551.41,171.5162
1748627040000,2551.41,2551.41,2546.48,2547.2,424.5569
1748627100000,2547.2,2548.89,2545.73,2547.47,425.6908
1748627160000,2547.47,2549.5,2547.12,2547.62,285.1295
1748627220000,2547.62,2547.84,2540.38,2541.44,1629.2262
1748627280000,2541.43,2542.42,2539.4,2541.56,661.7568
1748627340000,2541.55,2542.5,2540.81,2542.3,367.7863
1748627400000,2542.29,2546.45,2542.29,2546.11,221.7478
1748627460000,2546.1,2548.28,2546.1,2548.01,206.7641
1748627520000,2548.0,2550.51,2547.5,2548.3,378.7136
1748627580000,2548.3,2550.59,2548.0,2550.21,801.0887
1748627640000,2550.22,2550.45,2548.87,2549.78,368.3669
1748627700000,2549.78,2550.2,2549.04,2549.61,374.4703
1748627760000,2549.61,2549.77,2546.7,2547.25,222.0964
1748627820000,2547.25,2549.15,2546.71,2548.74,241.3275
1748627880000,2548.75,2548.91,2547.7,2548.89,99.039
1748627940000,2548.89,2549.5,2547.61,2549.31,188.8464
1748628000000,2549.32,2551.68,2549.31,2551.68,618.6669
1748628060000,2551.68,2553.01,2550.88,2552.43,450.0548
1748628120000,2552.43,2552.96,2549.8,2549.93,701.721
1748628180000,2549.93,2553.39,2549.93,2552.7,471.9624
1748628240000,2552.71,2553.36,2549.49,2549.51,778.0904
1748628300000,2549.51,2550.9,2547.5,2550.89,329.9179
1748628360000,2550.9,2554.78,2549.57,2554.77,443.7277
1748628420000,2554.78,2556.58,2553.51,2554.31,794.8521
1748628480000,2554.31,2555.61,2553.59,2555.6,220.3653
1748628540000,2555.6,2558.3,2555.3,2558.29,371.5363
1748628600000,2558.29,2559.0,2556.93,2558.69,284.2947
1748628660000,2558.69,2558.74,2557.09,2558.09,251.3508
1748628720000,2558.1,2560.99,2556.93,2557.3,813.8046
1748628780000,2557.3,2558.0,2556.36,2556.99,166.8951
1748628840000,2557.0,2557.0,2555.43,2556.69,146.9444
1748628900000,2556.7,2562.7,2556.55,2562.6,535.3329
1748628960000,2562.6,2562.6,2559.08,2562.2,342.2322
1748629020000,2562.2,2563.7,2560.02,2560.81,219.4746
1748629080000,2560.8,2566.64,2560.04,2564.28,1040.9936
1748629140000,2564.28,2566.8,2562.94,2565.82,278.6342
1748629200000,2565.81,2568.19,2564.77,2568.0,503.3478
1748629260000,2568.0,2570.48,2567.52,2569.51,573.1701
1748629320000,2569.5,2570.6,2567.23,2567.54,411.9768
1748629380000,2567.53,2572.0,2567.52,2571.86,464.9449
1748629440000,2571.87,2572.81,2571.5,2571.79,1100.8241
1748629500000,2571.78,2573.19,2571.65,2572.92,554.8928
1748629560000,2572.91,2576.9,2572.91,2574.63,1055.761
1748629620000,2574.63,2576.0,2570.94,2573.29,882.6212
1748629680000,2573.29,2575.67,2572.88,2573.78,993.6236
1748629740000,2573.77,2574.79,2573.51,2573.88,308.8077
1748629800000,2573.89,2575.5,2573.89,2575.15,304.9743
1748629860000,2575.15,2576.03,2572.2,2573.18,845.4961
1748629920000,2573.19,2573.19,2569.59,2570.5,885.3452
1748629980000,2570.5,2571.3,2568.2,2571.3,306.6156
1748630040000,2571.3,2571.38,2569.32,2569.35,193.445
1748630100000,2569.36,2569.76,2567.3,2569.68,301.9777
1748630160000,2569.69,2569.76,2567.9,2568.87,329.1201
1748630220000,2568.87,2574.6,2568.87,2574.11,490.78
1748630280000,2574.11,2574.6,2573.43,2573.69,129.7782
1748630340000,2573.7,2574.9,2572.07,2573.09,219.808
1748630400000,2573.1,2574.0,2571.9,2572.31,151.7274
1748630460000,2572.3,2573.2,2571.55,2573.19,216.4842
1748630520000,2573.19,2573.62,2572.71,2573.32,197.076
1748630580000,2573.33,2573.4,2569.32,2572.0,1017.528
1748630640000,2572.0,2572.1,2569.87,2570.41,257.7796
