time,open,high,low,close,volume
1747785600000,106850.0,107000.0,106727.27,107000.0,202.54519
1747786500000,106999.99,107206.94,106572.0,106600.01,330.87546
1747787400000,106600.01,106840.0,106459.8,106681.81,148.72447
1747788300000,106681.81,106918.57,106644.94,106739.54,113.41484
1747789200000,106739.55,107086.24,106670.19,106891.72,152.71201
1747790100000,106891.72,107035.07,106682.79,106786.86,89.4844
1747791000000,106786.85,106893.59,106700.78,106820.35,87.50727
1747791900000,106820.35,106820.36,106426.0,106500.0,111.142
1747792800000,106500.0,106545.46,106186.79,106420.24,299.23946
1747793700000,106420.25,106543.58,106241.63,106493.25,139.70947
1747794600000,106493.24,106809.53,106455.43,106740.76,110.02961
1747795500000,106740.76,106923.07,106657.76,106859.04,90.39132
1747796400000,106859.05,106944.0,106748.69,106898.6,148.54286
1747797300000,106898.6,107032.55,106844.64,107009.8,153.19839
1747798200000,107009.8,107090.23,106942.11,107006.35,210.20971
1747799100000,107006.35,107100.0,106773.44,106843.59,196.2996
1747800000000,106843.6,107009.66,106742.85,106866.08,153.09816
1747800900000,106866.07,106934.5,106809.52,106823.4,98.62692
1747801800000,106823.4,107700.0,106793.64,107521.4,960.4902
1747802700000,107521.41,107566.57,107225.67,107287.0,303.3716
1747803600000,107286.99,107636.69,107281.55,107430.13,366.56127
1747804500000,107430.12,107687.0,107430.12,107538.28,376.85481
1747805400000,107538.29,107718.68,107351.92,107438.01,265.88426
1747806300000,107438.01,107639.89,107342.93,107542.0,185.37352
1747807200000,107542.01,107620.27,107294.63,107410.0,326.17634
1747808100000,107410.0,107929.06,107321.17,107865.09,434.96532
1747809000000,107865.09,107985.05,107740.0,107937.73,345.30698
1747809900000,107937.72,107937.73,107736.91,107751.41,228.86011
1747810800000,107751.41,107855.49,107440.96,107440.97,222.66809
1747811700000,107440.97,107451.06,106774.42,106991.02,496.47905
1747812600000,106991.02,106991.02,106454.54,106656.45,602.96031
1747813500000,106656.46,106832.0,106483.53,106527.16,423.57548
1747814400000,106527.17,106797.98,106458.36,106765.34,393.26344
1747815300000,106765.34,106765.35,106357.79,106472.7,271.92956
1747816200000,106472.7,106537.47,106366.19,106400.7,192.7513
1747817100000,106400.7,106479.0,106347.05,106372.45,164.23375
1747818000000,106372.46,106523.81,106287.43,106314.91,224.05312
1747818900000,106314.92,106401.67,106188.0,106342.21,162.65056
1747819800000,106342.21,106342.21,106133.02,106137.52,233.19387
1747820700000,106137.53,106238.1,106100.01,106200.03,176.64099
1747821600000,106200.03,106450.0,106136.99,106401.22,172.66199
1747822500000,106401.23,106401.23,106158.57,106267.69,152.33986
1747823400000,106267.7,106392.73,106241.38,106347.54,112.76833
1747824300000,106347.54,106357.7,106282.43,106328.57,113.96075
1747825200000,106328.56,106502.78,106272.72,106500.82,185.97481
1747826100000,106500.82,106741.71,106464.6,106679.99,222.89955
