time,open,high,low,close,volume
1747836000000,2546.66,2557.29,2542.6,2547.9,15554.2501
1747836900000,2547.91,2562.48,2546.89,2547.69,12855.2502
1747837800000,2547.68,2553.35,2531.85,2551.28,13437.6954
1747838700000,2551.28,2581.04,2547.51,2580.5,23415.1804
1747839600000,2580.5,2582.18,2557.28,2564.94,27144.6937
1747840500000,2564.94,2577.8,2562.44,2571.0,11391.0347
1747841400000,2570.99,2576.9,2543.0,2560.12,23109.7872
1747842300000,2560.12,2571.8,2553.0,2567.01,11655.2878
1747843200000,2567.02,2571.2,2555.14,2571.18,10241.748
1747844100000,2571.18,2585.32,2570.91,2579.61,11969.4517
1747845000000,2579.61,2615.34,2579.2,2614.39,18997.9639
1747845900000,2614.4,2615.11,2584.67,2586.08,20587.4389
1747846800000,2586.09,2595.89,2559.05,2567.16,18345.4846
1747847700000,2567.15,2569.45,2474.26,2478.43,71516.4489
1747848600000,2478.45,2517.59,2458.0,2477.16,75658.6944
1747849500000,2477.34,2499.18,2452.2,2472.79,50572.2659
1747850400000,2472.8,2495.9,2459.35,2481.84,30305.9956
1747851300000,2481.84,2493.0,2471.7,2473.8,11182.4477
1747852200000,2473.79,2497.1,2473.4,2495.89,11807.9755
1747853100000,2495.9,2496.38,2472.76,2475.05,14182.3169
1747854000000,2475.04,2488.52,2463.46,2471.64,13894.2876
1747854900000,2471.64,2484.15,2464.65,2482.61,7868.0147
1747855800000,2482.6,2507.47,2482.2,2502.43,14282.7142
1747856700000,2502.42,2517.65,2497.27,2512.79,12724.6703
1747857600000,2512.75,2512.82,2498.01,2500.81,6410.5168
1747858500000,2500.81,2511.6,2498.47,2508.29,4232.4234
1747859400000,2508.29,2509.79,2496.67,2498.99,4312.2115
1747860300000,2498.99,2508.83,2486.25,2508.83,7400.2818
1747861200000,2508.83,2520.82,2499.0,2514.61,3909.1421
1747862100000,2514.6,2515.14,2501.41,2501.42,3883.7346
1747863000000,2501.41,2511.19,2498.07,2508.91,3189.692
1747863900000,2508.91,2512.18,2502.0,2504.7,2904.9149
1747864800000,2504.71,2510.81,2500.46,2504.0,3301.1588
1747865700000,2504.01,2520.5,2503.23,2520.31,3936.8551
1747866600000,2520.31,2529.25,2516.8,2521.75,5068.1874
1747867500000,2521.76,2543.37,2518.32,2536.11,9381.6629
1747868400000,2536.11,2542.32,2525.5,2540.1,6380.7538
1747869300000,2540.11,2597.92,2538.1,2556.8,36425.164
1747870200000,2556.81,2575.0,2553.51,2560.7,14858.0123
1747871100000,2560.71,2565.4,2541.04,2550.99,9095.6323
1747872000000,2551.0,2564.58,2544.83,2558.11,10107.1607
1747872900000,2558.11,2581.68,2552.75,2570.52,11529.4854
1747873800000,2570.52,2577.54,2555.2,2560.71,9269.2308
1747874700000,2560.71,2588.18,2560.71,2586.1,6788.0696
1747875600000,2586.1,2603.1,2579.1,2593.61,19598.7973
1747876500000,2593.61,2600.77,2586.3,2592.29,7397.454
1747877400000,2592.3,2599.3,2572.37,2575.56,13015.4633
1747878300000,2575.56,2581.91,2561.84,2574.81,11329.9185
1747879200000,2574.8,2589.02,2574.51,2583.8,7032.3361
1747880100000,2583.81,2598.73,2579.39,2591.15,7672.7949
1747881000000,2591.16,2603.12,2586.41,2590.71,11303.4017
1747881900000,2590.72,2599.02,2588.5,2594.49,5992.3443
1747882800000,2594.49,2597.79,2585.7,2593.13,6501.3835
1747883700000,2593.13,2609.2,2588.3,2609.11,11526.1981
1747884600000,2609.11,2638.19,2601.14,2635.41,28157.8752
1747885500000,2635.42,2647.8,2627.92,2629.24,26176.8575
1747886400000,2629.24,2634.84,2613.24,2621.69,20312.4609
1747887300000,2621.68,2626.37,2614.78,2622.2,11820.6278
1747888200000,2622.15,2635.96,2614.11,2635.54,12692.2124
1747889100000,2635.54,2638.5,2625.45,2628.11,8808.6269
1747890000000,2628.1,2636.19,2620.5,2625.24,7793.5802
1747890900000,2625.25,2647.5,2625.25,2644.1,17294.2331
