time,open,high,low,close,volume
1748436000000,109018.49,109053.39,109008.01,109027.42,27.35273
1748436300000,109027.42,109027.42,108900.02,108926.01,50.97237
1748436600000,108926.0,108949.22,108784.27,108817.44,24.6894
1748436900000,108817.43,108891.94,108817.43,108891.94,14.50414
1748437200000,108891.94,108899.1,108802.14,108802.15,39.67411
1748437500000,108802.15,108898.99,108750.85,108869.6,50.77693
1748437800000,108869.6,108903.99,108826.08,108839.26,20.95627
1748438100000,108839.25,108848.96,108762.01,108767.25,15.58921
1748438400000,108767.25,108900.52,108652.17,108740.0,88.08196
1748438700000,108740.0,108771.12,108640.0,108722.45,53.40263
1748439000000,108722.45,108956.53,108642.73,108956.52,92.41152
1748439300000,108956.53,108985.05,108643.2,108770.11,91.55652
1748439600000,108770.11,108792.0,108402.42,108515.84,137.69183
1748439900000,108515.83,108515.84,108282.25,108363.64,132.11761
1748440200000,108363.63,108433.34,108288.42,108433.34,84.84867
1748440500000,108433.33,108433.34,108010.0,108068.45,297.42412
1748440800000,108068.45,108253.03,107982.4,108189.01,280.55479
1748441100000,108189.01,108189.01,108000.0,108000.01,96.34882
1748441400000,108000.0,108086.95,107876.61,107880.78,230.85272
1748441700000,107880.78,107983.42,107626.0,107699.99,259.81523
1748442000000,107699.99,107948.71,107662.23,107934.01,127.84165
1748442300000,107934.01,107964.0,107779.0,107954.54,64.71569
1748442600000,107954.55,107954.55,107736.15,107828.12,139.346
1748442900000,107828.12,107828.13,107578.35,107592.54,215.06726
1748443200000,107592.54,107705.44,107549.15,107603.85,179.53181
1748443500000,107603.84,107833.07,107500.01,107738.63,165.53409
1748443800000,107738.62,107738.62,107560.99,107603.72,97.03598
1748444100000,107603.72,107603.72,107466.02,107522.72,189.31843
1748444400000,107522.71,107603.72,107475.91,107572.25,192.23807
1748444700000,107572.26,107677.28,107334.25,107349.06,278.21905
1748445000000,107349.07,107355.48,107136.36,107136.37,525.24411
1748445300000,107136.37,107328.93,107115.04,107261.44,376.76269
1748445600000,107261.44,107458.0,107253.38,107401.0,95.50476
1748445900000,107401.0,107401.0,107221.87,107292.83,156.93293
1748446200000,107292.83,107339.67,107232.0,107309.16,100.76386
1748446500000,107309.17,107495.49,107300.0,107468.07,100.48925
1748446800000,107468.07,107483.62,107344.13,107424.38,93.21677
1748447100000,107424.38,107447.99,107227.27,107264.82,125.45728
1748447400000,107264.82,107270.24,107169.99,107169.99,74.48092
1748447700000,107169.99,107181.82,107045.45,107107.31,107.58452
1748448000000,107107.31,107332.72,107107.31,107280.0,96.05496
1748448300000,107280.0,107377.4,107214.8,107328.8,67.86585
1748448600000,107328.8,107328.8,107150.0,107283.32,63.15887
1748448900000,107283.31,107439.34,107283.3,107375.18,67.8158
1748449200000,107375.17,107439.2,107280.96,107400.8,49.80787
1748449500000,107400.8,107457.59,107400.79,107416.81,53.05211
1748449800000,107416.8,107416.8,107211.47,107211.48,63.78531
1748450100000,107211.48,107366.92,107202.43,107219.28,43.21455
1748450400000,107219.29,107267.72,107181.81,107220.01,30.61435
1748450700000,107220.0,107343.98,107208.1,107272.73,33.00745
1748451000000,107272.73,107378.4,107257.21,107367.36,24.65389
1748451300000,107367.35,107420.0,107324.0,107420.0,36.23083
1748451600000,107420.0,107771.31,107419.99,107661.53,168.22248
1748451900000,107661.52,107772.72,107560.67,107755.23,135.80976
1748452200000,107755.23,107788.08,107626.12,107649.98,80.4822
1748452500000,107649.98,107832.38,107649.97,107767.06,50.88636
1748452800000,107767.05,107789.49,107658.0,107658.0,52.51575
1748453100000,107658.0,107658.01,107518.72,107604.42,79.91018
1748453400000,107604.42,107611.84,107527.2,107533.72,42.0275
1748453700000,107533.72,107533.72,107368.34,107419.3,73.76644
1748454000000,107419.3,107454.85,107363.63,107447.05,45.45169
1748454300000,107447.05,107550.55,107434.59,107514.66,68.28203
1748454600000,107514.66,107635.13,107484.44,107635.13,46.70495
1748454900000,107635.12,107699.27,107602.42,107679.01,42.59847
1748455200000,107679.01,107759.74,107637.83,107744.01,31.15333
1748455500000,107744.01,107763.51,107590.9,107763.5,41.40849
1748455800000,107763.51,107841.7,107763.5,107830.0,57.03977
1748456100000,107829.99,107842.29,107706.49,107729.54,39.54378
1748456400000,107729.53,107735.42,107636.68,107727.25,25.85596
1748456700000,107727.26,107727.26,107518.73,107519.21,50.67389
1748457000000,107519.21,107559.99,107513.01,107520.75,15.85764
1748457300000,107520.76,107557.72,107520.75,107539.99,29.43896
1748457600000,107539.99,107694.4,107500.01,107694.39,24.33685
1748457900000,107694.39,107772.73,107680.14,107680.14,40.88786
1748458200000,107680.14,107722.02,107388.0,107433.14,56.3989
1748458500000,107433.13,107491.12,107391.63,107476.55,23.55917
1748458800000,107476.54,107636.35,107444.28,107636.35,25.79999
1748459100000,107636.35,107795.06,107611.91,107716.0,25.98517
1748459400000,107716.0,107798.14,107637.83,107669.02,28.28895
1748459700000,107669.02,107681.82,107594.51,107651.72,20.88924
1748460000000,107651.72,107676.25,107500.0,107553.96,24.78388
1748460300000,107553.96,107553.96,107472.12,107499.33,19.42365
1748460600000,107499.34,107519.2,107433.84,107454.55,26.07326
1748460900000,107454.55,107454.55,107227.27,107313.06,59.33209
1748461200000,107313.07,107318.19,107121.37,107127.62,76.97459
1748461500000,107127.61,107235.81,107020.23,107199.99,218.06033
1748461800000,107199.99,107220.0,106938.24,107042.07,183.0803
1748462100000,107042.07,107168.48,106944.44,106946.01,96.92131
1748462400000,106946.0,106946.01,106769.43,106942.0,113.75751
1748462700000,106941.99,107077.51,106941.99,106968.12,46.81141
1748463000000,106968.13,107073.23,106957.87,107035.18,22.79997
1748463300000,107035.19,107100.0,107035.18,107096.0,25.96674
1748463600000,107095.99,107253.75,106900.0,107224.01,139.45265
1748463900000,107224.01,107224.01,107145.17,107178.42,28.49437
1748464200000,107178.42,107213.18,107090.9,107213.18,18.36985
1748464500000,107213.17,107396.44,107213.17,107363.64,40.77962
1748464800000,107363.64,107400.0,107349.26,107352.38,12.40978
1748465100000,107352.37,107403.82,107346.28,107346.29,15.11299
1748465400000,107346.28,107346.29,107194.28,107220.0,25.49741
1748465700000,107220.0,107382.0,107218.79,107318.18,29.02261
1748466000000,107318.19,107338.01,107227.97,107230.11,29.25397
1748466300000,107230.11,107256.63,107185.9,107200.01,27.19046
1748466600000,107200.01,107329.13,107200.0,107329.12,25.80185
1748466900000,107329.13,107417.76,107321.92,107407.01,14.93225
